序列号,GPS时间,经度,纬度,x,y,速度(km/h),航向,工作状态,幅宽(m),深度(mm),深度标准值
39,2022/10/19 0:02,131.5304517,47.09650117,5218082.221,464352.4146,5.29672,160.2,TRUE,5.3,400,300
40,2022/10/19 0:02,131.5304782,47.09642983,5218074.278,464354.3788,5.79676,154.5,TRUE,5.3,398,300
41,2022/10/19 0:02,131.5305257,47.09636917,5218067.513,464357.9445,6.35236,159,TRUE,5.3,400,300
42,2022/10/19 0:02,131.530564,47.096299,5218059.694,464360.8053,6.63016,162.7,TRUE,5.3,382,300
43,2022/10/19 0:02,131.5306447,47.0962425,5218053.376,464366.8943,6.55608,152.9,TRUE,5.3,400,300
44,2022/10/19 0:02,131.5306995,47.09617417,5218045.755,464371.0091,7.55616,160,TRUE,5.3,400,300
45,2022/10/19 0:03,131.5307345,47.09610033,5218037.53,464373.617,6.5746,158.7,TRUE,5.3,397,300
46,2022/10/19 0:03,131.5307775,47.09603783,5218030.562,464376.8399,7.16724,162.2,TRUE,5.3,400,300
47,2022/10/19 0:03,131.530834,47.09597033,5218023.032,464381.0843,6.50052,157.5,TRUE,5.3,400,300
48,2022/10/19 0:03,131.5308782,47.09590933,5218016.231,464384.3993,7.11168,153.2,TRUE,5.3,400,300
49,2022/10/19 0:03,131.5309227,47.095854,5218010.059,464387.7408,7.1302,156.8,TRUE,5.3,374,300
50,2022/10/19 0:03,131.5309742,47.0957885,5218002.754,464391.607,6.61164,156,TRUE,5.3,400,300
51,2022/10/19 0:03,131.531014,47.09572067,5217995.195,464394.5834,7.38948,160.1,TRUE,5.3,396,300
52,2022/10/19 0:03,131.5310653,47.09564917,5217987.223,464398.4304,7.33392,158.9,TRUE,5.3,400,300
53,2022/10/19 0:03,131.5311,47.09557983,5217979.499,464401.0187,7.1302,157.4,TRUE,5.3,400,300
54,2022/10/19 0:03,131.5311243,47.09551267,5217972.021,464402.8188,7.24132,158,TRUE,5.3,400,300
55,2022/10/19 0:03,131.5311833,47.09544683,5217964.675,464407.2542,7.33392,162.3,TRUE,5.3,400,300
56,2022/10/19 0:03,131.5312447,47.09538267,5217957.514,464411.8729,7.11168,157.7,TRUE,5.3,400,300
57,2022/10/19 0:03,131.5312782,47.09532467,5217951.051,464414.3776,7.11168,160.3,TRUE,5.3,400,300
58,2022/10/19 0:03,131.531311,47.095252,5217942.957,464416.8194,7.01908,153.7,TRUE,5.3,400,300
59,2022/10/19 0:03,131.5313527,47.09519567,5217936.676,464419.9478,6.87092,158,TRUE,5.3,400,300
60,2022/10/19 0:04,131.5313948,47.09512867,5217929.208,464423.0994,6.87092,154.5,TRUE,5.3,399,300
61,2022/10/19 0:04,131.5314418,47.09506467,5217922.071,464426.6251,7.72284,155.4,TRUE,5.3,394,300
62,2022/10/19 0:04,131.5314903,47.09499467,5217914.267,464430.2606,7.2228,159.6,TRUE,5.3,400,300
63,2022/10/19 0:04,131.5315308,47.09493,5217907.059,464433.2924,7.79692,158.2,TRUE,5.3,400,300
64,2022/10/19 0:04,131.5315768,47.094863,5217899.59,464436.7401,7.64876,153,TRUE,5.3,400,300
65,2022/10/19 0:04,131.5316153,47.09479883,5217892.438,464439.6204,6.68572,151.1,TRUE,5.3,400,300
66,2022/10/19 0:04,131.5316513,47.09473383,5217885.196,464442.3103,7.25984,155.9,TRUE,5.3,400,300
67,2022/10/19 0:04,131.5316967,47.0946705,5217878.135,464445.7149,7.11168,156.3,TRUE,5.3,400,300
68,2022/10/19 0:04,131.5317417,47.09460567,5217870.907,464449.0882,7.14872,152.2,TRUE,5.3,400,300
69,2022/10/19 0:04,131.5317795,47.09454283,5217863.904,464451.9163,5.8338,150.5,TRUE,5.3,400,300
70,2022/10/19 0:04,131.5318233,47.0944875,5217857.733,464455.2048,7.05612,153.1,TRUE,5.3,400,300
71,2022/10/19 0:04,131.5318582,47.09443017,5217851.343,464457.8163,6.92648,155.9,TRUE,5.3,400,300
72,2022/10/19 0:04,131.5318982,47.094364,5217843.969,464460.8092,7.18576,156.3,TRUE,5.3,400,300
73,2022/10/19 0:04,131.5319417,47.09430567,5217837.464,464464.073,6.70424,157.4,TRUE,5.3,400,300
74,2022/10/19 0:04,131.53199,47.0942445,5217830.642,464467.6993,6.77832,159.8,TRUE,5.3,400,300
75,2022/10/19 0:05,131.5320312,47.09418367,5217823.861,464470.7868,7.1302,157.2,TRUE,5.3,400,300
76,2022/10/19 0:05,131.5320753,47.09411567,5217816.281,464474.0898,7.29688,155.1,TRUE,5.3,400,300
77,2022/10/19 0:05,131.5321198,47.09405083,5217809.052,464477.4252,7.16724,156.4,TRUE,5.3,400,300
78,2022/10/19 0:05,131.5321703,47.09398267,5217801.452,464481.2139,7.1302,157,TRUE,5.3,400,300
79,2022/10/19 0:05,131.532208,47.09391867,5217794.32,464484.0337,7.44504,157.3,TRUE,5.3,400,300
80,2022/10/19 0:05,131.532248,47.09385383,5217787.093,464487.0275,6.37088,155.7,TRUE,5.3,400,300
81,2022/10/19 0:05,131.5322937,47.0937945,5217780.476,464490.4577,6.98204,158.4,TRUE,5.3,400,300
82,2022/10/19 0:05,131.5323332,47.093721,5217772.287,464493.4078,7.79692,160.6,TRUE,5.3,399,300
83,2022/10/19 0:05,131.5323773,47.09365583,5217765.022,464496.7126,5.72268,153.7,TRUE,5.3,376,300
84,2022/10/19 0:05,131.5324167,47.0935995,5217758.742,464499.6666,5.556,161.8,TRUE,5.3,400,300
85,2022/10/19 0:05,131.5324567,47.09354183,5217752.313,464502.6652,6.42644,157.5,TRUE,5.3,400,300
86,2022/10/19 0:05,131.5324915,47.09347883,5217745.293,464505.2654,7.25984,152.7,TRUE,5.3,400,300
87,2022/10/19 0:05,131.5325352,47.09341767,5217738.474,464508.5426,6.98204,153.9,TRUE,5.3,389,300
88,2022/10/19 0:05,131.5325797,47.09335633,5217731.634,464511.8805,5.98196,158.9,TRUE,5.3,400,300
89,2022/10/19 0:05,131.5326193,47.0932985,5217725.187,464514.8486,7.18576,156.2,TRUE,5.3,400,300
90,2022/10/19 0:06,131.532658,47.093233,5217717.888,464517.7433,7.57468,154.1,TRUE,5.3,400,300
91,2022/10/19 0:06,131.5327018,47.09316567,5217710.383,464521.0241,6.98204,156.5,TRUE,5.3,396,300
92,2022/10/19 0:06,131.532749,47.09309933,5217702.986,464524.5636,7.79692,155.6,TRUE,5.3,400,300
93,2022/10/19 0:06,131.5327955,47.09302967,5217695.221,464528.0478,7.408,149.7,TRUE,5.3,372,300
94,2022/10/19 0:06,131.5328415,47.09295917,5217687.362,464531.4935,7.37096,151.7,TRUE,5.3,400,300
95,2022/10/19 0:06,131.5328865,47.0928945,5217680.152,464534.8671,7.83396,158.7,TRUE,5.3,400,300
96,2022/10/19 0:06,131.5329327,47.09282733,5217672.664,464538.3302,8.0562,157.9,TRUE,5.3,400,300
97,2022/10/19 0:06,131.5329728,47.092755,5217664.605,464541.3267,7.889521,154.7,TRUE,5.3,395,300
98,2022/10/19 0:06,131.5330217,47.092685,5217656.8,464544.993,7.42652,155.6,TRUE,5.3,378,300
99,2022/10/19 0:06,131.5330662,47.09261433,5217648.924,464548.3247,6.87092,153.8,TRUE,5.3,371,300
100,2022/10/19 0:06,131.5331193,47.09254683,5217641.396,464552.3115,7.2228,160.1,TRUE,5.3,400,300
101,2022/10/19 0:06,131.533163,47.09246983,5217632.815,464555.5783,7.01908,150.2,TRUE,5.3,400,300
102,2022/10/19 0:06,131.5332175,47.09240217,5217625.269,464559.6713,7.61172,157.8,TRUE,5.3,380,300
103,2022/10/19 0:06,131.5332607,47.09232883,5217617.096,464562.9026,7.53764,153.2,TRUE,5.3,400,300
104,2022/10/19 0:06,131.533305,47.09226167,5217609.609,464566.2215,7.463561,158,TRUE,5.3,400,300
105,2022/10/19 0:07,131.5333547,47.09218933,5217601.545,464569.947,7.61172,158.2,TRUE,5.3,400,300
106,2022/10/19 0:07,131.5334032,47.0921175,5217593.537,464573.5817,7.98212,155.2,TRUE,5.3,400,300
107,2022/10/19 0:07,131.533451,47.09204383,5217585.326,464577.1621,7.63024,161.1,TRUE,5.3,400,300
108,2022/10/19 0:07,131.5334995,47.09197483,5217577.633,464580.7987,7.5006,157.9,TRUE,5.3,391,300
109,2022/10/19 0:07,131.5335462,47.091908,5217570.182,464584.3001,8.13028,156.7,TRUE,5.3,400,300
110,2022/10/19 0:07,131.5335867,47.091839,5217562.493,464587.3293,7.35244,158.7,TRUE,5.3,400,300
111,2022/10/19 0:07,131.5336302,47.09176417,5217554.154,464590.5825,7.42652,160.5,TRUE,5.3,400,300
112,2022/10/19 0:07,131.5336708,47.09169533,5217546.482,464593.6195,7.72284,162,TRUE,5.3,376,300
113,2022/10/19 0:07,131.5337217,47.0916245,5217538.585,464597.4371,7.889521,158.5,TRUE,5.3,400,300
114,2022/10/19 0:07,131.533772,47.09155517,5217530.855,464601.2103,7.74136,161.5,TRUE,5.3,400,300
115,2022/10/19 0:07,131.53382,47.091487,5217523.254,464604.8095,8.00064,156.2,TRUE,5.3,400,300
116,2022/10/19 0:07,131.533871,47.09141783,5217515.542,464608.6359,8.01916,160.6,TRUE,5.3,374,300
117,2022/10/19 0:07,131.5339193,47.09133833,5217506.681,464612.2505,7.51912,155.4,TRUE,5.3,400,300
118,2022/10/19 0:07,131.5339608,47.09127067,5217499.141,464615.3566,7.408,162.3,TRUE,5.3,400,300
119,2022/10/19 0:07,131.5339932,47.091198,5217491.047,464617.7685,6.81536,156,TRUE,5.3,400,300
120,2022/10/19 0:08,131.534043,47.09113367,5217483.873,464621.507,7.00056,159.8,TRUE,5.3,374,300
121,2022/10/19 0:08,131.5340945,47.09106517,5217476.234,464625.3719,6.59312,160,TRUE,5.3,398,300
122,2022/10/19 0:08,131.5341342,47.09099967,5217468.935,464628.3428,7.24132,160.6,TRUE,5.3,400,300
123,2022/10/19 0:08,131.5341805,47.09093283,5217461.483,464631.8139,7.61172,155.8,TRUE,5.3,400,300
124,2022/10/19 0:08,131.534224,47.09087317,5217454.831,464635.0773,6.945,158.9,TRUE,5.3,400,300
125,2022/10/19 0:08,131.5342633,47.09081567,5217448.421,464638.0231,6.16716,163.8,TRUE,5.3,400,300
126,2022/10/19 0:08,131.5343045,47.09075483,5217441.638,464641.111,7.3154,158.9,TRUE,5.3,396,300
127,2022/10/19 0:08,131.5343595,47.09068533,5217433.887,464645.241,7.27836,160.5,TRUE,5.3,374,300
128,2022/10/19 0:08,131.5344088,47.09061783,5217426.36,464648.9396,7.408,159.1,TRUE,5.3,400,300
129,2022/10/19 0:08,131.5344473,47.09054967,5217418.766,464651.8177,7.09316,169.2,TRUE,5.3,400,300
130,2022/10/19 0:08,131.5344842,47.09049467,5217412.634,464654.583,6.00048,153.2,TRUE,5.3,247,300
131,2022/10/19 0:08,131.5345697,47.09045883,5217408.611,464661.0511,5.66712,80.7,FALSE,5.3,0,300
132,2022/10/19 0:08,131.5346587,47.09048683,5217411.684,464667.8271,6.6672,20.3,FALSE,5.3,0,300
133,2022/10/19 0:08,131.5346708,47.09053817,5217417.386,464668.7798,6.64868,323.5,FALSE,5.3,0,300
134,2022/10/19 0:08,131.5346525,47.09057683,5217421.692,464667.4159,5.093,319,TRUE,5.3,84,300
135,2022/10/19 0:09,131.5346175,47.09064367,5217429.139,464664.8027,6.27828,352.2,TRUE,5.3,244,300
136,2022/10/19 0:09,131.5345768,47.09070217,5217435.661,464661.7511,6.55608,352.7,TRUE,5.3,226,300
137,2022/10/19 0:09,131.5345678,47.09074383,5217440.296,464661.0953,0,0,FALSE,5.3,0,300
138,2022/10/19 0:09,131.534568,47.09073617,5217439.445,464661.1054,5.13004,157.6,FALSE,5.3,0,300
139,2022/10/19 0:09,131.5346368,47.09071067,5217436.579,464666.3124,6.16716,104.9,FALSE,5.3,0,300
140,2022/10/19 0:09,131.5346913,47.090714,5217436.924,464670.4526,0.70376,105.5,FALSE,5.3,0,300
141,2022/10/19 0:09,131.5346495,47.09072783,5217438.481,464667.288,4.61148,320.1,FALSE,5.3,0,300
142,2022/10/19 0:09,131.5346143,47.090747,5217440.628,464664.628,0.75932,329.9,TRUE,5.3,353,300
143,2022/10/19 0:09,131.5345875,47.09073983,5217439.843,464662.5884,3.75956,326.5,TRUE,5.3,267,300
144,2022/10/19 0:09,131.5345448,47.09079833,5217446.366,464659.3851,4.63,335.5,TRUE,5.3,400,300
145,2022/10/19 0:09,131.5345093,47.0908585,5217453.071,464656.7295,4.96336,345,TRUE,5.3,400,300
146,2022/10/19 0:09,131.5344822,47.09091483,5217459.346,464654.7091,6.1116,337,TRUE,5.3,400,300
147,2022/10/19 0:09,131.5344503,47.09097067,5217465.568,464652.324,6.00048,339.2,TRUE,5.3,400,300
148,2022/10/19 0:09,131.534413,47.09102133,5217471.217,464649.5255,6.03752,339.8,TRUE,5.3,400,300
149,2022/10/19 0:09,131.5343648,47.0910815,5217477.928,464645.9056,5.68564,344.3,TRUE,5.3,400,300
150,2022/10/19 0:10,131.5343168,47.091132,5217483.564,464642.2946,6.2968,341.6,TRUE,5.3,400,300
151,2022/10/19 0:10,131.534275,47.091192,5217490.253,464639.1606,6.44496,339.1,TRUE,5.3,400,300
152,2022/10/19 0:10,131.5342305,47.09125483,5217497.258,464635.8234,6.42644,340.2,TRUE,5.3,400,300
153,2022/10/19 0:10,131.5341795,47.09132533,5217505.119,464631.9979,7.704319,335.3,TRUE,5.3,400,300
154,2022/10/19 0:10,131.5341355,47.09138433,5217511.698,464628.6962,6.2968,342.1,TRUE,5.3,400,300
155,2022/10/19 0:10,131.5340942,47.0914535,5217519.406,464625.6062,7.5006,339.1,TRUE,5.3,400,300
156,2022/10/19 0:10,131.5340517,47.091521,5217526.929,464622.4241,7.14872,335.5,TRUE,5.3,400,300
157,2022/10/19 0:10,131.5340107,47.09157833,5217533.322,464619.3491,6.83388,337.6,TRUE,5.3,400,300
158,2022/10/19 0:10,131.5339697,47.09164083,5217540.288,464616.2775,6.70424,344.1,TRUE,5.3,400,300
159,2022/10/19 0:10,131.5339208,47.09170017,5217546.907,464612.6041,7.63024,337.9,TRUE,5.3,400,300
160,2022/10/19 0:10,131.5338688,47.09176917,5217554.602,464608.7016,6.77832,339.5,TRUE,5.3,400,300
161,2022/10/19 0:10,131.5338322,47.09184167,5217562.678,464605.9708,6.74128,337.6,TRUE,5.3,400,300
162,2022/10/19 0:10,131.533787,47.09190967,5217570.259,464602.584,7.38948,339.8,TRUE,5.3,400,300
163,2022/10/19 0:10,131.5337348,47.0919765,5217577.712,464598.665,8.167319,339.3,TRUE,5.3,400,300
164,2022/10/19 0:10,131.5336837,47.0920515,5217586.073,464594.8349,7.408,342.1,TRUE,5.3,400,300
165,2022/10/19 0:11,131.5336378,47.09212017,5217593.728,464591.3955,7.51912,339.5,TRUE,5.3,400,300
166,2022/10/19 0:11,131.5335907,47.09218267,5217600.697,464587.8609,7.5006,339.3,TRUE,5.3,400,300
167,2022/10/19 0:11,131.5335443,47.09226,5217609.315,464584.3892,7.55616,339.8,TRUE,5.3,400,300
168,2022/10/19 0:11,131.5334937,47.09232417,5217616.472,464580.59,7.66728,337.9,TRUE,5.3,400,300
169,2022/10/19 0:11,131.533445,47.0923885,5217623.646,464576.9351,6.96352,338.6,TRUE,5.3,400,300
170,2022/10/19 0:11,131.5334017,47.09244967,5217630.466,464573.6881,7.27836,336.3,TRUE,5.3,400,300
171,2022/10/19 0:11,131.5333515,47.09252367,5217638.716,464569.9258,7.852479,340.3,TRUE,5.3,388,300
172,2022/10/19 0:11,131.5333152,47.09260083,5217647.31,464567.2209,7.5006,339.5,TRUE,5.3,400,300
173,2022/10/19 0:11,131.533273,47.0926715,5217655.186,464564.0638,6.81536,341,TRUE,5.3,375,300
174,2022/10/19 0:11,131.53323,47.09274183,5217663.024,464560.8457,7.42652,339,TRUE,5.3,400,300
175,2022/10/19 0:11,131.5331798,47.092815,5217671.181,464557.0828,6.81536,337,TRUE,5.3,400,300
176,2022/10/19 0:11,131.5331228,47.09288567,5217679.064,464552.8021,7.01908,340,TRUE,5.3,400,300
177,2022/10/19 0:11,131.5330863,47.09295317,5217686.584,464550.0756,7.79692,342.6,TRUE,5.3,400,300
178,2022/10/19 0:11,131.5330368,47.09301783,5217693.795,464546.3603,6.98204,338.4,TRUE,5.3,400,300
179,2022/10/19 0:11,131.5329927,47.09308233,5217700.986,464543.0549,6.40792,339.3,TRUE,5.3,370,300
180,2022/10/19 0:12,131.5329438,47.09315283,5217708.846,464539.389,6.8524,339.8,TRUE,5.3,400,300
181,2022/10/19 0:12,131.5328927,47.0932185,5217716.169,464535.5529,7.33392,341.1,TRUE,5.3,400,300
182,2022/10/19 0:12,131.5328433,47.09329183,5217724.344,464531.851,7.1302,342.3,TRUE,5.3,400,300
183,2022/10/19 0:12,131.532796,47.093358,5217731.722,464528.3038,7.37096,340.3,TRUE,5.3,400,300
184,2022/10/19 0:12,131.532755,47.09342717,5217739.43,464525.2368,7.0376,340.3,TRUE,5.3,400,300
185,2022/10/19 0:12,131.5327083,47.09349033,5217746.473,464521.7332,7.0376,340.2,TRUE,5.3,400,300
186,2022/10/19 0:12,131.5326598,47.09355767,5217753.981,464518.0956,7.01908,341.3,TRUE,5.3,400,300
187,2022/10/19 0:12,131.5326177,47.09362367,5217761.338,464514.9431,6.5746,337.7,TRUE,5.3,400,300
188,2022/10/19 0:12,131.5325702,47.09368967,5217768.697,464511.3806,7.07464,340.1,TRUE,5.3,400,300
189,2022/10/19 0:12,131.5325258,47.093758,5217776.313,464508.0551,7.5006,339.9,TRUE,5.3,400,300
190,2022/10/19 0:12,131.5324885,47.09382483,5217783.76,464505.2676,7.63024,337.5,TRUE,5.3,400,300
191,2022/10/19 0:12,131.5324397,47.09389183,5217791.231,464501.6071,4.09292,344.4,TRUE,5.3,400,300
192,2022/10/19 0:12,131.5324202,47.0939255,5217794.983,464500.1489,5.22264,336.6,TRUE,5.3,400,300
193,2022/10/19 0:12,131.53239,47.09398033,5217801.092,464497.8925,5.2782,342.8,TRUE,5.3,399,300
194,2022/10/19 0:12,131.5323453,47.09403567,5217807.264,464494.5356,4.79668,338.8,TRUE,5.3,400,300
195,2022/10/19 0:13,131.532307,47.09408233,5217812.469,464491.6588,6.63016,335.9,TRUE,5.3,366,300
196,2022/10/19 0:13,131.5322587,47.09414983,5217819.995,464488.0366,7.2228,337.1,TRUE,5.3,400,300
197,2022/10/19 0:13,131.5322127,47.09422517,5217828.392,464484.5943,6.64868,341,TRUE,5.3,400,300
198,2022/10/19 0:13,131.532163,47.09428833,5217835.436,464480.8629,6.61164,335.7,TRUE,5.3,400,300
199,2022/10/19 0:13,131.5321282,47.0943465,5217841.919,464478.2595,6.945,338.1,TRUE,5.3,400,300
200,2022/10/19 0:13,131.5320877,47.094416,5217849.664,464475.2309,7.778399,334.6,TRUE,5.3,400,300
201,2022/10/19 0:13,131.532038,47.09448017,5217856.82,464471.5003,8.09324,336.6,TRUE,5.3,373,300
202,2022/10/19 0:13,131.531985,47.09454617,5217864.182,464467.5204,7.51912,337.3,TRUE,5.3,400,300
203,2022/10/19 0:13,131.5319478,47.09461417,5217871.758,464464.7413,6.92648,340.7,TRUE,5.3,400,300
204,2022/10/19 0:13,131.5319065,47.09467917,5217879.003,464461.649,6.51904,336.3,TRUE,5.3,400,300
205,2022/10/19 0:13,131.5318652,47.09474283,5217886.099,464458.5558,6.64868,336,TRUE,5.3,371,300
206,2022/10/19 0:13,131.5318158,47.09480717,5217893.274,464454.8481,6.61164,335.6,TRUE,5.3,400,300
207,2022/10/19 0:13,131.5317845,47.09486917,5217900.181,464452.513,6.3894,332.2,TRUE,5.3,400,300
208,2022/10/19 0:13,131.5317425,47.0949295,5217906.908,464449.3645,7.24132,336.3,TRUE,5.3,400,300
209,2022/10/19 0:13,131.531697,47.09499967,5217914.729,464445.9568,7.2228,343.3,TRUE,5.3,400,300
210,2022/10/19 0:14,131.5316523,47.09506433,5217921.938,464442.6062,6.92648,339.3,TRUE,5.3,400,300
211,2022/10/19 0:14,131.5316117,47.09513417,5217929.721,464439.5703,7.07464,338.5,TRUE,5.3,400,300
212,2022/10/19 0:14,131.5315765,47.09519167,5217936.129,464436.9362,7.5006,337.1,TRUE,5.3,400,300
213,2022/10/19 0:14,131.5315395,47.09525417,5217943.094,464434.1687,5.6486,339.5,TRUE,5.3,400,300
214,2022/10/19 0:14,131.5315053,47.09531033,5217949.353,464431.6096,5.6486,335.7,TRUE,5.3,400,300
215,2022/10/19 0:14,131.5314607,47.09537083,5217956.099,464428.2639,5.8338,339.7,TRUE,5.3,400,300
216,2022/10/19 0:14,131.5314238,47.09542517,5217962.157,464425.4986,6.42644,340.1,TRUE,5.3,400,300
217,2022/10/19 0:14,131.5313823,47.09548717,5217969.069,464422.3892,5.85232,343.9,TRUE,5.3,395,300
218,2022/10/19 0:14,131.531342,47.0955435,5217975.349,464419.3671,6.74128,338.6,TRUE,5.3,400,300
219,2022/10/19 0:14,131.5312997,47.09560433,5217982.131,464416.1962,6.83388,340.1,TRUE,5.3,400,300
220,2022/10/19 0:14,131.531257,47.09566367,5217988.748,464412.994,7.463561,335.8,TRUE,5.3,375,300
221,2022/10/19 0:14,131.5312125,47.09573583,5217996.79,464409.6636,7.20428,338.7,TRUE,5.3,400,300
222,2022/10/19 0:14,131.5311665,47.09580233,5218004.204,464406.2156,6.70424,334.2,TRUE,5.3,400,300
223,2022/10/19 0:14,131.5311233,47.09585283,5218009.838,464402.9695,6.6672,334.6,TRUE,5.3,400,300
224,2022/10/19 0:14,131.5310807,47.0959225,5218017.603,464399.7818,6.81536,342.7,TRUE,5.3,400,300
225,2022/10/19 0:15,131.5310425,47.09598983,5218025.105,464396.9265,6.88944,341.3,TRUE,5.3,399,300
226,2022/10/19 0:15,131.5309957,47.09605817,5218032.724,464393.4191,7.11168,339.4,TRUE,5.3,400,300
227,2022/10/19 0:15,131.530952,47.09612,5218039.618,464390.1426,7.63024,336.3,TRUE,5.3,400,300
228,2022/10/19 0:15,131.5308977,47.096199,5218048.425,464386.0729,7.463561,337.8,TRUE,5.3,400,300
229,2022/10/19 0:15,131.5308547,47.09627233,5218056.597,464382.8572,7.778399,336.8,TRUE,5.3,400,300
230,2022/10/19 0:15,131.5308288,47.096339,5218064.021,464380.9354,7.5932,337.2,TRUE,5.3,400,300
231,2022/10/19 0:15,131.5307842,47.096396,5218070.378,464377.5874,7.57468,336.4,TRUE,5.3,400,300
232,2022/10/19 0:15,131.5307612,47.09646383,5218077.929,464375.8865,6.2968,337.1,TRUE,5.3,400,300
233,2022/10/19 0:15,131.530717,47.09651867,5218084.046,464372.5675,3.38916,344.5,TRUE,5.3,400,300
234,2022/10/19 0:15,131.5306805,47.09656767,5218089.51,464369.8291,5.94492,333,TRUE,5.3,162,300
235,2022/10/19 0:15,131.5306228,47.09660833,5218094.057,464365.4757,5.556,272.1,FALSE,5.3,0,300
236,2022/10/19 0:15,131.5305295,47.09659617,5218092.747,464358.3844,5.75972,226.9,FALSE,5.3,0,300
237,2022/10/19 0:15,131.5304485,47.09655633,5218088.355,464352.2084,6.1116,180.7,FALSE,5.3,0,300
238,2022/10/19 0:15,131.5304265,47.096473,5218079.101,464350.4826,5.75972,164.7,TRUE,5.3,352,300
